Linha de ônibus,Cidade,Lista de pontos de paradas sequenciais
1012-10-0,São Paulo,"[1805186500, 1805186615, 1805186526, 1805186497, 1805186436, 1805186336, 2479629965, 8916093171, 1805186718, 1805186758, 1805186758, 1805186666, 1805186689, 1805187015, 4743378770, 1805187445, 1805187567]"
1012-10-1,São Paulo,"[1805187449, 1805187567, 1805187589, 1805187434, 4743378770, 1805187015, 1805186772, 1805186666, 4743434299, 7963496257, 1805186718, 2479629965, 1805186336, 1805186428, 5874451713, 1805186526, 1805186612, 1805186584, 1805186500]"
1015-10-0,São Paulo,"[1805186500, 1805186500, 4743435856, 6407285952, 7953388782, 4743435850, 2479634334, 4743435852, 2479634300, 2479641807, 4320384970, 4320384956, 4320384970, 6014194299, 2479641751, 7975603666, 7436102669, 1805186584]"
1016-10-0,São Paulo,"[1372247744, 1372247744, 1372247858, 1370676507, 1372248913, 1372247735, 4826334447, 4826334189, 4826334523, 4826326384, 4826326384, 1372248657, 4827266460, 1373158687, 1697581674, 1697581757, 4576284126, 7927676122, 1373158281, 3874731205, 3886703678, 1662987572, 396034550, 2387989556, 1662993279, 1663249690, 2387967745, 2388106855, 1663255702, 5545841423, 6208953642, 929592144, 1526961958, 2390192810, 2396517564, 5427717502]"
1016-10-1,São Paulo,"[462038024, 5429378140, 5429378140, 163220296, 2390192810, 1526961958, 163217651, 2393533146, 163186128, 649630155, 2388106855, 2388091956, 2388091956, 1662989695, 396034544, 1662987572, 4915731399, 3874731205, 1373158281, 7927676122, 1697581634, 1697581674, 1705173127, 2039205337, 4827266460, 4827266342, 1372248247, 1372248038, 4826334523, 4826334104, 1372247742, 1372248096, 1372247762, 1372247744]"
1017-10-0,São Paulo,"[942483484, 4794384368, 4794341311, 942450292, 942450092, 4794342848, 2479349169, 942500137, 942450253, 942450603, 940908125, 4789241741, 1805050449, 4790928370, 1805050448, 8943801550, 8710768730, 4807989383, 4808031302, 4808037962, 4090669112, 4808193231, 4534832866, 8698045510, 8008752258, 8006662808, 7845136325, 917144445, 3891146204, 1804343581, 1804210359, 2643938092, 917144427, 1804344012, 1804210974, 936107819, 1805073301, 7981364235, 4173508701, 936107875, 936025788, 936025552, 936025511, 6240590831, 4176837997, 934277046, 934219338]"
1017-10-1,São Paulo,"[1490113450, 7302146193, 934050100, 8707437707, 934219332, 934219280, 934219338, 934276866, 917290842, 936025511, 936025693, 936025746, 936107875, 7981364235, 1805073301, 936107796, 1804210974, 917144427, 2643938092, 1804210359, 1804343515, 7846530253, 8006662810, 7845136325, 4780109968, 7845136342, 4775743934, 2448056779, 6432985577, 4808193232, 4808193830, 4808193677, 4808038425, 4808031302, 4090669135, 4807989383, 4808011245, 360446644, 360446670, 8943801550, 1805050455, 9573065000, 1805050448, 1805050452, 1805050454, 1805050441, 4789241741, 4789241872, 1805056421, 940926938, 940926906, 942500137, 2479349174, 942450092, 942450292, 942483325, 942483615, 942483484]"
1018-10-0,São Paulo,"[4824024461, 4824024634, 1372130372, 4824072838, 970121707, 970121372, 2577739029, 1370605875, 1370676571, 1370676241, 6080853300, 1373074455, 7934370838, 1370676378, 1373317280, 2387996004, 1662983921, 3886703678, 1662987572, 396034550, 2387989556, 1662992273, 1662994848, 4312047511, 4909237010, 3891204064, 5622547082, 5221938157, 5372753448, 5380796360, 494740777, 507969946, 507969902]"
1018-10-1,São Paulo,"[507969902, 410243260, 5459730745, 5380796349, 5503484883, 2063078944, 1662997830, 1371318608, 1371318616, 1657867521, 1662989695, 396034544, 1662987572, 4915731399, 1662983597, 1373317280, 1370676378, 7934370838, 1373074509, 1373074502, 1370605861, 1370605864, 1370676246, 2577739029, 4824124514, 970121707, 1370697641, 1372130372]"
1019-10-0,São Paulo,"[5874451734, 1560899987, 8674034814, 1920363489, 1920404407, 1805030541, 1805030665, 1560899823, 1805030747, 29020078, 1805030801, 1560899788, 2477049518, 4796540645, 817883074, 817882923, 2480797296, 7975741756, 4160087772, 879848063, 879848404, 879848140, 879848234, 895875909, 895844563, 896167503, 896167503, 832086927, 832086919, 832288230, 895844572, 8918565553, 832225508, 832320483, 901228199, 4175190246, 8707664419, 7991933648, 2109847790, 2109847790, 2109852664, 2109852664, 2109852664]"
